College Name,Zone,1st year,Total No of students
	Sriram Engineering College,Zone I : Chennai-I,83,270
A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXI : Villupuram,296,1024
A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVI : Tirunelveli-I,0,22
A.R. ENGINEERING COLLEGE,Zone XXI : Villupuram,68,257
A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIII : Pattukkottai,157,459
A.V.C COLLEGE OF ENGINEERING,Zone XIII : Pattukkottai,248,1049
AAA College of Engineering and Technology,Zone XXII : Madurai,252,894
ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,286,1008
ADHIPARASAKTHI ENGINEERING COLLEGE,Zone V : Tindivanam,256,967
ADITHYA INSTITUTE OF TECHNOLOGY,Zone IX : Coimbatore - I,246,718
AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XI : Erode,7,138
ALPHA COLLEGE OF ENGINEERING,Zone II : Chennai-II,128,382
AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,336,1076
ANAND INSTITUTE OF HIGHER TECHNOLOGY,Zone III : Chennai-III,449,1377
ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IX : Coimbatore - I,104,564
ANJALAI AMMAL MAHALINGAM ENGINEERING COLLEGE,Zone XIII : Pattukkottai,357,1457
"ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI",Zone XX : Tirunelveli-II,184,790
ANNAI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIII : Pattukkottai,186,1401
ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VI : Arni,189,577
ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,Zone I : Chennai-I,0,131
ANNAI TERESA COLLEGE OF ENGINEERING,Zone XXI : Villupuram,78,648
"ANNAI VAILANKANNI COLLEGE OF ENGINEERING, KANYAKUMARI ",Zone XVII : Nagercoil,145,535
ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,Zone IV : MIT - Chromepet,84,431
ANNAMALAIAR COLLEGE OF ENGINEERING,Zone VI : Arni,30,392
ANNAPOORANA ENGINEERING COLLEGE,Zone VIII : Salem,245,1112
APOLLO ENGINEERING COLLEGE,Zone II : Chennai-II,96,357
ARASU ENGINEERING COLLEGE,Zone XIII : Pattukkottai,275,1133
ARIFA INSTITUTE OF TECHNOLOGY,Zone XIII : Pattukkottai,114,358
ARIYALUR ENGINEERING COLLEGE ,Zone XII : Ariyalur,95,742
ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,30,99
ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Zone VI : Arni,17,241
ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,Zone XVII : Nagercoil,409,1357
AS-SALAM COLLEGE OF ENGINEERING & TECHNOLOGY,Zone XIII : Pattukkottai,77,363
AVS COLLEGE OF TECHNOLOGY,Zone VIII : Salem,355,1033
AVS Engineering College,Zone VIII : Salem,567,1791
Aalim Muhammed Salegh College Of Engineering,Zone I : Chennai-I,280,1120
Adhiparasakthi College of Engineering,Zone VI : Arni,166,493
Agni College of Technology,Zone III : Chennai-III,538,1617
Akshaya college of engineering and technology,Zone X : Coimbatore - II,239,702
Alagappa Chettiar Government College of Engineering and Technology,Zone XIV : Karaikudi,397,1680
Alagappa college of technology anna university,Zone I : Chennai-I,443,1814
Anna University Regional Campus Madurai ,Zone XXII : Madurai,218,869
"Anna University, Regional Campus Coimbatore",Zone IX : Coimbatore - I,245,927
Annai mathammal sheela Engineering college ,Zone VIII : Salem,171,713
"Arjun College of Technology , Coimbatore ",Zone X : Coimbatore - II,112,563
"Arulmurugan College Of Engineering, Karur",Zone XV : Dindigul,40,287
Arunai Engineering College,Zone V : Tindivanam,563,1784
Asian College of Engineering and Technology ,Zone IX : Coimbatore - I,254,916
BETHLAHEM INSTITUTE OF ENGINEERING,Zone XVII : Nagercoil,144,625
BHARATH NIKETAN ENGINEERING COLLEGE,Zone XV : Dindigul,225,616
Bharathidasan Engineering College ,Zone VII : Dharmapuri,244,621
Bharathiyar Institute of engineering for women,Zone VIII : Salem,277,760
Builders Engineering College,Zone XI : Erode,295,954
C.  Abdul Hakeem college of engineering and technology,Zone VI : Arni,324,1010
C.K. COLLEGE OF ENGINEERING & TECHNOLOGY,Zone XXI : Villupuram,317,1119
C.S.I. INSTITUTE OF TECHNOLOGY,Zone XVII : Nagercoil,158,386
CAPE INSTITUTE OF TECHNOLOGY,Zone XX : Tirunelveli-II,150,1125
CARE College of Engineering,Zone XVIII : Trichy,267,615
CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (CSIR) KARAIKUDI,Zone XIV : Karaikudi,38,146
CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,Zone III : Chennai-III,97,488
CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIV : Karaikudi,154,287
CHENNAI INSTITUTE OF TECHNOLOGY,Zone II : Chennai-II,1122,3574
CHETTINAD COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,235,705
CHRIST THE KING ENGINEERING COLLEGE,Zone IX : Coimbatore - I,241,754
CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,133,801
CMS COLLEGE OF ENGINEERING ,Zone VIII : Salem,218,324
CMS College of Engineeering and Technology,Zone X : Coimbatore - II,177,569
COIMBATORE INSTITUTE OF TECHNOLOGY,Zone X : Coimbatore - II,0,2211
CSI COLLEGE OF ENGINEERING,Zone IX : Coimbatore - I,167,542
Chendu College of Engineering and Technology,Zone V : Tindivanam,15,144
"College Of Engineering,Guindy Campus",Zone I : Chennai-I,966,3848
"DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE",Zone X : Coimbatore - II,209,632
DHANALAKSHMI COLLEGE OF ENGINEERING,Zone IV : MIT - Chromepet,292,1077
DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Zone X : Coimbatore - II,774,2365
DHANALAKSHMI SRINIVASAN INSTITUTE OF RESEARCH AND TECHNOLOGY,Zone XII : Ariyalur,0,519
DHANALAKSHMI SRINIVASAN INSTITUTE OF TECHNOLOGY,Zone XII : Ariyalur,0,444
DMI ENGINEERING COLLEGE,Zone XX : Tirunelveli-II,136,483
DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,Zone XII : Ariyalur,59,315
Demo college,Zone XVII : Nagercoil,1,1
Dhaanish Ahmed College of Engineering ,Zone IV : MIT - Chromepet,323,895
Dhanalakshmi Srinivasan College of Engineering and Technology,Zone III : Chennai-III,498,1628
Dhirajlal Gandhi College of Technology,Zone VII : Dharmapuri,430,1470
Dmi college of Engineering,Zone II : Chennai-II,327,1155
Dr.G.U.Pope College of Engineering,Zone XX : Tirunelveli-II,175,497
"Dr.N.G.P Institute of Technology,  Coimbatore ",Zone IX : Coimbatore - I,0,1572
"Dr.Sivanthi Aditanar College of Engineering, Tiruchendur",Zone XX : Tirunelveli-II,171,659
EASA College of Engg and Technology,Zone X : Coimbatore - II,332,742
EINSTEIN COLLEGE OF ENGINEERING,Zone XVI : Tirunelveli-I,226,796
ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,Zone VII : Dharmapuri,662,1754
Excel college of Engineering and Technology ,Zone XI : Erode,0,165
Fatima Michael College of engineering and technology ,Zone XIV : Karaikudi,157,450
G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,33,291
GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Zone VI : Arni,170,442
GANAPATHY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XIV : Karaikudi,0,155
GNANAMANI COLLEGE OF ENGINEERING,Zone VIII : Salem,0,0
GNANAMANI COLLEGE OF TECHNOLOGY,Zone VIII : Salem,1250,3069
GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Zone I : Chennai-I,279,891
GOOD SHEPHERD COLLEGE OF ENGINEERING & TECHNOLOGY,Zone XVII : Nagercoil,108,260
GOVERNMENT COLLEGE OF ENGINEERING,Zone XV : Dindigul,240,1000
GOVERNMENT COLLEGE OF ENGINEERING - BARGUR,Zone VII : Dharmapuri,222,907
GOVERNMENT COLLEGE OF ENGINEERING - SALEM,Zone VIII : Salem,447,1908
"GOVERNMENT COLLEGE OF ENGINEERING, THANJAVUR",Zone XIII : Pattukkottai,239,1086
"GOVERNMENT COLLEGE OF TECHNOLOGY, COIMBATORE",Zone IX : Coimbatore - I,670,2886
GRACE COLLEGE OF ENGINEERING,Zone XX : Tirunelveli-II,178,435
GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,260,847
Ganesh College of Engineering,Zone VIII : Salem,311,757
Global Institute of Engineering and Technology,Zone VI : Arni,260,903
Government College of Engineering,Zone XVI : Tirunelveli-I,389,1739
Government College of Engineering  Erode,Zone XI : Erode,378,1453
Government College of Engineering Srirangam ,Zone XVIII : Trichy,274,1098
