,College Code,College Name,Category Name,University,District,Zone,Group,branch,Total No of students,1st year,2nd year,3rd year,4th year
0,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,160,37,63,29,31
1,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,394,110,123,76,85
2,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,72,7,18,18,29
3,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,81,10,29,26,16
4,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,196,57,61,38,40
5,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,176,18,42,57,59
6,1101,Aalim Muhammed Salegh College Of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,41,41,0,0,0
9,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,78,25,22,12,19
10,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,95,16,24,24,31
11,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Biomedical Engineering,169,42,48,44,35
12,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,222,59,64,52,47
13,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,8,0,0,0,8
14,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,59,59,0,0,0
15,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,216,59,60,45,52
16,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Medical Electronics Engineering,29,29,0,0,0
17,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,53,0,0,27,26
18,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,16,0,0,14,2
19,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Aeronautical Engineering,103,27,18,35,23
20,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,121,0,0,82,39
21,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering (Artificial Intelligence and Machine learning ),27,27,0,0,0
22,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,98,30,30,20,18
23,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering (CyberSecurity),30,30,0,0,0
24,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,187,60,53,47,27
25,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,209,58,59,62,30
26,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical and automation engineering,18,18,0,0,0
