,College Code,College Name,Zone,Group,Category Name,University,District,1st year,Total No of students
0,1,"College Of Engineering,Guindy Campus",Zone I : Chennai-I,1.0,University Departments,ANNA UNIVERSITY,CHENNAI,966,3848
1,2,Alagappa college of technology anna university,Zone I : Chennai-I,1.0,University Departments,ANNA UNIVERSITY,CHENNAI,443,1814
2,4,"Madras Institute of Technology, Anna University",Zone IV : MIT - Chromepet,1.0,University Departments,ANNA UNIVERSITY,CHENNAI,741,2924
3,1101,Aalim Muhammed Salegh College Of Engineering,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,280,1120
4,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,260,847
5,1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,279,891
6,1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,52,234
7,1107,J N N INSTITUTE OF ENGINEERING,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,224,825
8,1108,JAYA ENGINEERING COLLEGE,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,260,977
9,1111,JAYA INSTITUTE OF TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,9,212
10,1114,Prathyusha engineering college,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,455,1461
11,1120,JAYA SAKTHI ENGINEERING COLLEGE,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,81,304
12,1121,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,6,48
13,1123,SRI KRISHNA COLLEGE OF ENGINEERING,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,26,368
14,1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,98,958
15,1125,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,14,220
16,1126,	Sriram Engineering College,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,83,270
17,1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,141,578
18,1128,TJS Engineering College,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,184,594
19,1133,Velammal Institute of Technology,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,503,1519
20,1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,0,131
21,1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,41,370
22,2101,ALPHA COLLEGE OF ENGINEERING,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,128,382
23,2102,APOLLO ENGINEERING COLLEGE,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,96,357
24,2104,CHENNAI INSTITUTE OF TECHNOLOGY,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,1122,3574
25,2105,Dmi college of Engineering,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,327,1155
26,2106,Jeppiaar Institute of technology,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,269,952
27,2108,KINGS ENGINEERING COLLEGE,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,665,2022
28,2109,LOYOLA INSTITUTE OF TECHNOLOGY,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,279,1067
29,2111,MADHA ENGINEERING COLLEGE,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,213,874
30,2112,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,64,451
31,2113,P.B. COLLEGE OF ENGINEERING,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,193,329
32,2115,Panimalar Institute of Technology ,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,0,2043
33,2117,Rajalakshmi Institute of Technology ,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,789,2101
34,2119,RAJIV GANDHI COLLEGE OF ENGINEERING,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,63,602
35,2120,SKR Engineering College ,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,102,240
