College Name,College Code,Category Name,University,District,Zone,Group,Total No of students,1st year
"College Of Engineering,Guindy Campus",1,University Departments,ANNA UNIVERSITY,CHENNAI,Zone I : Chennai-I,1.0,3848,966
Alagappa college of technology anna university,2,University Departments,ANNA UNIVERSITY,CHENNAI,Zone I : Chennai-I,1.0,1814,443
"Madras Institute of Technology, Anna University",4,University Departments,ANNA UNIVERSITY,CHENNAI,Zone IV : MIT - Chromepet,1.0,2924,741
Aalim Muhammed Salegh College Of Engineering,1101,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,1120,280
AALIM MUHAMMED SALEGH ACADEMY OF ARCHITECTURE,1102,Architecture,ANNA UNIVERSITY,TIRUVALLUR,,,129,0
GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,1103,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,847,260
GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,1105,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,891,279
INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1106,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,234,52
J N N INSTITUTE OF ENGINEERING,1107,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,825,224
JAYA ENGINEERING COLLEGE,1108,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,977,260
JAYA INSTITUTE OF TECHNOLOGY,1111,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,212,9
R.M.D. Engineering College,1112,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,,,1549,0
R.M.K.Engineering College,1113,Affilated Autonomous,ANNA UNIVERSITY,CHENNAI,Zone I : Chennai-I,1.0,2254,0
Prathyusha engineering college,1114,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,1461,455
R M D Engineering College (Autonomous),1115,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,37,0
R M K College of Engineering and Technology (Autonomous),1116,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,3467,0
Veltech Multitech Dr. Rangarajan Dr. Sakunthala Engineering College,1118,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,1835,0
S A Engineering College,1119,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,,,2350,1
JAYA SAKTHI ENGINEERING COLLEGE,1120,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,304,81
SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,1121,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,48,6
SRI KRISHNA COLLEGE OF ENGINEERING,1123,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone I : Chennai-I,1.0,368,26
SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,1124,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,958,98
SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,1125,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,220,14
	Sriram Engineering College,1126,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,270,83
"St.Peter's College of Engineering and Technology, Avadi, Chennai ",1127,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,578,141
TJS Engineering College,1128,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,594,184
Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (An Autonomous Institution),1130,Affilated Autonomous,ANNA UNIVERSITY,CHENNAI,,,2299,725
Velammal Engineering College ,1132,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,,,2688,778
Velammal Institute of Technology,1133,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,1519,503
RVS Padmavathy School of Architecture.,1135,Architecture,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,120,0
ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,1137,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,131,0
SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,1138,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,370,41
ALPHA COLLEGE OF ENGINEERING,2101,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,382,128
APOLLO ENGINEERING COLLEGE,2102,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,357,96
CHENNAI INSTITUTE OF TECHNOLOGY,2104,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,3574,1122
Dmi college of Engineering,2105,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,1155,327
Jeppiaar Institute of technology,2106,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,952,269
KINGS ENGINEERING COLLEGE,2108,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,2022,665
LOYOLA INSTITUTE OF TECHNOLOGY,2109,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,1067,279
MADHA ENGINEERING COLLEGE,2111,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,874,213
MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,2112,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,451,64
P.B. COLLEGE OF ENGINEERING,2113,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,329,193
PANIMALAR ENGINEERING COLLEGE,2114,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,,,7143,2360
Panimalar Institute of Technology ,2115,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone II : Chennai-II,1.0,2043,0
RAJALAKSHMI ENGINEERING COLLEGE,2116,Affilated Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,,,5070,0
Rajalakshmi Institute of Technology ,2117,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,2101,789
RAJALAKSHMI SCHOOL OF ARCHITECTURE,2118,Architecture,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,108,0
RAJIV GANDHI COLLEGE OF ENGINEERING,2119,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,602,63
SKR Engineering College ,2120,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone II : Chennai-II,1.0,240,102
Saveetha Engineering college (Autonomous),2122,Affilated Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,,,2895,0
SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,2124,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone II : Chennai-II,1.0,389,106
Sri muthukumaran institute of Technology ,2126,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,802,221
SRI VENKATESWARA COLLEGE OF ENGINEERING,2127,Affilated Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,,,3508,0
JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,2128,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone II : Chennai-II,1.0,118,10
St Joseph college of Engineering ,2129,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,1073,265
PAPNI SCHOOL OF ARCHITECTURE,2131,Architecture,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,20,0
ANAND INSTITUTE OF HIGHER TECHNOLOGY,3101,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,1377,449
CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,3103,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone III : Chennai-III,1.0,488,97
Dhanalakshmi Srinivasan College of Engineering and Technology,3105,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone III : Chennai-III,1.0,1628,498
EASWARI ENGINEERING COLLEGE,3106,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,,,4433,1254
Jawahar Engineering College,3107,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone III : Chennai-III,1.0,14,0
Jeppiaar Engineering College,3108,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,1767,504
JERUSALEM COLLEGE OF ENGINEERING,3109,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,,,770,0
KCG College of Technology,3110,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,2229,593
LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,3111,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone III : Chennai-III,1.0,1483,379
MARG Institute of Design and Architecture Swarnabhoomi (MIDAS),3112,Architecture,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,207,24
MEASI ACADEMY OF ARCHITECTURE,3113,Architecture,ANNA UNIVERSITY,CHENNAI,Zone III : Chennai-III,1.0,581,146
MEENAKSHI COLLEGE OF ENGINEERING,3114,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone III : Chennai-III,1.0,1266,363
MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,3115,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone III : Chennai-III,1.0,1615,430
MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,3116,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,773,232
MOHAMED SATHAK A.J ACADEMY OF ARCHITECTURE,3117,Architecture,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,269,83
MOHAMMED SATHAK A.J.COLLEGE OF ENGINEERING,3118,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,823,235
JEPPIAAR SRR ENGINEERING COLLEGE ,3120,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,101,0
SMK FOMRA INSTITUTE OF TECHNOLOGY,3121,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,276,75
SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING,3122,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,,,2654,0
ST.JOSEPH'S COLLEGE OF ENGINEERING,3123,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,,,4944,1398
ST.JOSEPH'S INSTITUTE OF TECHNOLOGY,3124,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,1721,0
