Zone,Total No of students,1st year
Zone I : Chennai-I,27922,4767
Zone II : Chennai-II,19530,5101
Zone III : Chennai-III,19062,4834
Zone IV : MIT - Chromepet,12495,3338
Zone IX : Coimbatore - I,22654,6014
Zone V : Tindivanam,8260,2520
Zone VI : Arni,10441,2661
Zone VII : Dharmapuri,14760,4240
Zone VIII : Salem,23664,7577
Zone X : Coimbatore - II,21439,4381
Zone XI : Erode,17811,3433
Zone XII : Ariyalur,11123,2911
Zone XIII : Pattukkottai,13153,3111
Zone XIV : Karaikudi,9827,2717
Zone XV : Dindigul,17489,3735
Zone XVI : Tirunelveli-I,8902,2171
Zone XVII : Nagercoil,18272,4250
Zone XVIII : Trichy,18193,4258
Zone XX : Tirunelveli-II,12475,3171
Zone XXI : Villupuram,10300,2698
Zone XXII : Madurai,11577,2816
